Month,Months in Office,Significant,Economically Significant,Other Significant
Feb,1,9.0,6.0,3.0
Mar,2,11.0,4.0,7.0
Apr,3,9.0,2.0,7.0
May,4,16.0,10.0,6.0
Jun,5,12.0,2.0,10.0
Jul,6,12.0,8.0,4.0
Aug,7,21.0,10.0,11.0
Sep,8,12.0,3.0,9.0
Oct,9,15.0,6.0,9.0
Nov,10,15.0,10.0,5.0
Dec,11,23.0,5.0,18.0
Jan,12,9.0,3.0,6.0
Feb,13,4.0,2.0,2.0
Mar,14,15.0,2.0,13.0
Apr,15,12.0,3.0,9.0
May,16,16.0,8.0,8.0
Jun,17,12.0,0.0,12.0
Jul,18,11.0,4.0,7.0
Aug,19,14.0,5.0,9.0
Sep,20,12.0,4.0,8.0
Oct,21,10.0,6.0,4.0
Nov,22,14.0,7.0,7.0
Dec,23,11.0,4.0,7.0
Jan,24,13.0,4.0,9.0
Feb,25,12.0,2.0,10.0
Mar,26,13.0,1.0,12.0
Apr,27,10.0,3.0,7.0
May,28,11.0,3.0,8.0
Jun,29,14.0,4.0,10.0
Jul,30,12.0,5.0,7.0
Aug,31,18.0,12.0,6.0
Sep,32,14.0,12.0,2.0
Oct,33,17.0,9.0,8.0
Nov,34,14.0,10.0,4.0
Dec,35,20.0,8.0,12.0
Jan,36,11.0,9.0,2.0
Feb,37,20.0,8.0,12.0
Mar,38,27.0,8.0,19.0
Apr,39,66.0,34.0,32.0
May,40,48.0,27.0,21.0
Jun,41,7.0,1.0,6.0
Jul,42,11.0,1.0,10.0
Aug,43,21.0,9.0,12.0
Sep,44,10.0,4.0,6.0
Oct,45,16.0,4.0,12.0
Nov,46,22.0,9.0,13.0
Dec,47,39.0,9.0,30.0
